"Sodium compounds: Soda ash, natural and synthetic",thousand metric tons,2015,25920
"Sulfur, S content: Byproduct, domestic: Nonferrous, metallurgy",thousand metric tons,2015,3800
"Sulfur, S content: Byproduct, domestic: Petroleum and coal chemical industry",thousand metric tons,2015,5530
"Sulfur, S content: Pyrite",thousand metric tons,2015,6570
Talc and related materials,thousand metric tons,2015,1800
Coal: Anthracite,thousand metric tons,2015,401000
Coal: Bituminous,thousand metric tons,2015,3100000
Coal: Lignite,thousand metric tons,2015,252000
"Coke, all types",thousand metric tons,2015,448225
"Gas, natural, gross",billion cubic meters,2015,135
"Petroleum: Crude, including crude from oil shale",million 42-gallon barrels,2015,1550
Petroleum: Refinery products,million 42-gallon barrels,2015,3900
"Uranium, mine output, U content",metric tons,2015,1620
